235,"How does implicit free lists(garbage collection) works in adding memory to free list ?|a) whichever comes last will be added to free list|b) whichever comes first will be added to free list|c) certain blocks cannot be used if there are no pointers to them and hence they can be freed|d) makes a probabilistic guess","c","When no pointers pointing a block that means it is useless to be in memory.",10,
236,"Assume there is a free list which contains nodes and is filled with a value if it is already assigned and the value will be the size of requested block else will be 0.   (*z <= len))          \\ too small to satisfy request {           } The above code represents what ?|a) code for first fit|b) code for best fit|c) code for worst fit|d) none of the mentioned","a","As z is start point and now from beginning we are moving and checking if we reached end and then checking size naively assigning the first block which is bigger than required size hence it is first fit.",10,
237,"How are free blocks linked together mostly and in what addressing order?|a) circular linked list and increasing addressing order|b) linked list and decreasing addressing order|c) linked list and in no addressing order|d) none of the mentioned","a","A common way is circular linked list and address are arranged in increasing order because merging would be easier which is actually a problem in buddy memory allocation.",10,
238,"What is/are the disadvantages of implementing tree using normal arrays?|a) difficulty in knowing children nodes of a node|b) difficult in finding the parent of a node|c) have to know the maximum number of nodes possible before creation of trees|d) difficult to implement","c","The size of array is fixed in normal arrays. We need to know the number of nodes in the tree before array declaration. It is the main disadvantage of using arrays to represent binary trees.",10,
239,"If the tree is not a complete binary tree then what changes can be made for easy access of children of a node in the array?|a) every node stores data saying which of its children exist in the array|b) no need of any changes continue with 2w and 2w+1, if node is at i|c) keep a seperate table telling children of a node|d) use another array parallel to the array with tree","a","Array cannot represent arbitrary shaped trees. It can only be used in case of complete trees. If every node stores data saying that which of its children exists in the array then elements can be accessed easily.",10,
240,"Why is heap implemented using array representations than tree(linked list) representations though both tree representations and heaps have same complexities? for binary heap -insert: O(log n) -delete min: O(log n) -insert: O(log n) -delete: O(log n) Then why go with array representation when both are having same values ?|a) arrays can store trees which are complete and heaps are not complete|b) lists representation takes more memory hence memory efficiency is less and go with arrays and arrays have better caching|c) lists have better caching|d) In lists insertion and deletion is difficult","b","In memory the pointer address for next node may not be adjacent or nearer to each other and also array have wonderful caching power from os and manipulating pointers is a overhead. Heap data structure is always a complete binary tree.",10,
241,"Disadvantages of linked list representation of binary trees over arrays?|a) Randomly accessing is not possible|b) Extra memory for a pointer is needed with every element in the list|c) Difficulty in deletion|d) Random access is not possible and extra memory with every element","d","Random access is not possible with linked lists.",10,
242,"Which of the following traversing algorithm is not used to traverse in a tree?|a) Post order|b) Pre order|c) Post order|d) Randomized","d","Generally, all nodes in a tree are visited by using preorder, inorder and postorder traversing algorithms.",10,
243,"The following lines talks about deleting a node in a binary tree.(the tree property must not be violated after deletion) i) from root search for the node to be deleted ii) iii) delete the node at what must be statement ii) and fill up statement iii)|a) ii)-find random node,replace with node to be deleted. iii)- delete the node|b) ii)-find node to be deleted. iii)- delete the node at found location|c) ii)-find deepest node,replace with node to be deleted. iii)- delete a node|d) ii)-find deepest node,replace with node to be deleted. iii)- delete the deepest node","d","We just replace a to be deleted node with last leaf node of a tree. this must not be done in case of BST or heaps.",10,
245,"What is the code below trying to print? void print(tree *root,tree *node) {   {   } }|a) just printing all nodes|b) not a valid logic to do any task|c) printing ancestors of a node passed as argument|d) printing nodes from leaf node to a node passed as argument","c","We are checking if left or right node is what the argument sent or else if not the case then move to left node or right node and print all nodes while searching for the argument node.",10,
246,"A binary tree is a rooted tree but not an ordered tree.|a) true|b) false","b","A binary tree is a rooted tree and also an ordered tree (i.e) every node in a binary tree has at most two children.",10,
247,"How many common operations are performed in a binary tree?|a) 1|b) 2|c) 3|d) 4","c","Three common operations are performed in a binary tree- they are insertion, deletion and traversal.",10,
248,"What is the traversal strategy used in the binary tree?|a) depth-first traversal|b) breadth-first traversal|c) random traversal|d) Priority traversal","b","Breadth first traversal, also known as level order traversal is the traversal strategy used in a binary tree. It involves visiting all the nodes at a given level.",10,
249,"How many types of insertion are performed in a binary tree?|a) 1|b) 2|c) 3|d) 4","b","Two kinds of insertion operation is performed in a binary tree- inserting a leaf node and inserting an internal node.",10,
251,"General ordered tree can be encoded into binary trees.|a) true|b) false","a","General ordered tree can be mapped into binary tree by representing them in a left-child-right-sibling way.",10,
252,"How many bits would a succinct binary tree occupy?|a) n+O(n)|b) 2n+O(n)|c) n/2|d) n","b","A succinct binary tree occupies close to minimum possible space established by lower bounds. A succinct binary tree would occupy 2n+O(n) bits.",10,
253,"The average depth of a binary tree is given as?|a) O(N)|b) O(N)|c) O(N2)|d) O(log N)","d","The average depth of a binary tree is given as O(N). In case of a binary search tree, it is O(log N).",10,
254,"How many orders of traversal are applicable to a binary tree (In General)?|a) 1|b) 4|c) 2|d) 3","d","The three orders of traversal that can be applied to a binary tree are in-order, pre-order and post order traversal.",10,
255,"If binary trees are represented in arrays, what formula can be used to locate a left child, if the node has an index i?|a) 2i+1|b) 2i+2|c) 2i|d) 4i","a","If binary trees are represented in arrays, left children are located at indices 2i+1 and right children at 2i+2.",10,
256,"Using what formula can a parent node be located in an array?|a) (i+1)/2|b) (i-1)/2|c) i/2|d) 2i/2","b","If a binary tree is represented in an array, parent nodes are found at indices (i-1)/2.",10,
257,"Construct a binary tree using the following data. The preorder traversal of a binary tree is 1, 2, 5, 3, 4. The inorder traversal of the same binary tree is 2, 5, 1, 4, 3.|a)|b)|c)|d)","d","Here, Preorder Traversal is 1, 2, 5, 3, 4. Inorder Traversal is 2, 5, 1, 4, 3. Root node of binary tree is the first node in Preorder traversal. The rough sketch of tree is:",10,
258,"For the tree below, write the post-order traversal.|b) 2, 7, 5, 2, 6, 9, 5, 11, 4|c) 2, 5, 11, 6, 7, 4, 9, 5, 2|d) 2, 7, 5, 6, 11, 2, 5, 4, 9","c","Post order traversal follows LRN(Left-Right-Node).",10,
259,"What is the possible number of binary trees that can be created with 3 nodes, giving the sequence N, M, L when traversed in post-order.|a) 15|b) 3|c) 5|d) 8","c","5 binary trees are possible and they are,",10,
260,"A full binary tree can be generated using ______|a) post-order and pre-order traversal|b) pre-order traversal|c) post-order traversal|d) in-order traversal","a","Every node in a full binary tree has either 0 or 2 children. A binary tree can be generated by two traversals if one of them is in-order. But, we can generate a full binary tree using post-order and pre-order traversals.",10,
261,"The steps for finding post-order traversal are traverse the right subtree, traverse the left subtree or visit the current node.|a) True|b) False","b","Left subtree is traversed first in post-order traversal, then the right subtree is traversed and then the output current node.",10,
262,"For a binary tree the first node visited in in-order and post-order traversal is same.|a) True|b) False","b","Consider a binary tree,",10,
263,"For the tree below, write the level-order traversal.|b) 2, 7, 5, 2, 11, 9, 6, 5, 4|c) 2, 5, 11, 6, 7, 4, 9, 5, 2|d) 2, 7, 5, 6, 11, 2, 5, 4, 9","b","Level order traversal follows a breadth first search approach.",10,
264,"The number of edges from the node to the deepest leaf is called _________ of the tree.|a) Height|b) Depth|c) Length|d) Width","a","The number of edges from the node to the deepest leaf is called height of the tree.",10,
265,"What is a full binary tree?|a) Each node has exactly zero or two children|b) Each node has exactly two children|c) All the leaves are at the same level|d) Each node has exactly one or two children","a","A full binary tree is a tree in which each node has exactly 0 or 2 children.",10,
266,"What is a complete binary tree?|a) Each node has exactly zero or two children|b) A binary tree, which is completely filled, with the possible exception of the bottom level, which is filled from right to left|c) A binary tree, which is completely filled, with the possible exception of the bottom level, which is filled from left to right|d) A tree In which all nodes have degree 2","c","A binary tree, which is completely filled, with the possible exception of the bottom level, which is filled from left to right is called complete binary tree. A Tree in which each node has exactly zero or two children is called full binary tree. A Tree in which the degree of each node is 2 except leaf nodes is called perfect binary tree.",10,
267,"Which of the following is not an advantage of trees?|a) Hierarchical structure|b) Faster search|c) Router algorithms|d) Undo/Redo operations in a notepad","d","Undo/Redo operations in a notepad is an application of stack. Hierarchical structure, Faster search, Router algorithms are advantages of trees.",10,
270,"The balance factor of a node in a binary tree is defined as _____|a) addition of heights of left and right subtrees|b) height of right subtree minus height of left subtree|c) height of left subtree minus height of right subtree|d) height of right subtree minus one","c","For a node in a binary tree, the difference between the heights of its left subtree and right subtree is known as balance factor of the node.",10,
271,"Figure below is a balanced binary tree. If a node inserted as child of the node R, how many nodes will become unbalanced?|b) 1|c) 3|d) 0","b","Only the node P will become unbalanced, with balance factor +2.",10,
272,"A binary tree is balanced if the difference between left and right subtree of every node is not more than ____|a) 1|b) 3|c) 2|d) 0","a","In a balanced binary tree the heights of two subtrees of every node never differ by more than 1.",10,
273,"Which of the following tree data structures is not a balanced binary tree?|a) AVL tree|b) Red-black tree|c) Splay tree|d) B-tree","d","All the tree data structures given in options are balanced, but B-tree can have more than two children.",10,
274,"Which of the following data structures can be efficiently implemented using height balanced binary search tree?|a) sets|b) priority queue|c) heap|d) both sets and priority queue","d","Height-Balanced binary search tree can provide an efficient implementation of sets, priority queues.",10,
275,"Two balanced binary trees are given with m and n elements respectively. They can be merged into a balanced binary search tree in ____ time.|a) O(m+n)|b) O(mn)|c) O(m)|d) O(mlog n)","a","First we store the in-order traversals of both the trees in two separate arrays and then we can merge these sorted sequences in O(m+n) time. And then we construct the balanced tree from this final sorted array.",10,
276,"Which of the following is an advantage of balanced binary search tree, like AVL tree, compared to binary heap?|a) insertion takes less time|b) deletion takes less time|c) searching takes less time|d) construction of the tree takes less time than binary heap","a","Insertion and deletion, in both the binary heap and balanced binary search tree takes O(log n). But searching in balanced binary search tree requires O(log n) while binary heap takes O(n). Construction of balanced binary search tree takes O(nlog n) time while binary heap takes O(n).",10,
277,"AVL trees are more balanced than Red-black trees.|a) True|b) False","a","AVL tree is more balanced than a Red-black tree because AVL tree has less height than Red-black tree given that both trees have the same number of elements.",10,
278,"Which process forms the randomized binary search tree?|a) Stochastic Process|b) Branching Process|c) Diffusion Process|d) Aggregation Process","a","The randomized binary search tree is formed by the stochastic process. The stochastic process or also called random process is a mathematical tool or object including random variables.",10,
279,"How many randomized binary search trees can be formed by the numbers (1, 3, 2)?|a) 2|b) 3|c) 6|d) 5","d","As there are 3 numbers (1, 3, 2) so total of 6 combinations can be formed using three numbers but Since (2, 1, 3) and (2, 3, 1) are same so in total there are 5 randomized binary search tree that can be formed.",10,
280,"What is the expected depth of a node in a randomized binary search tree?|a) log n|b) n!|c) n2|d) 2 log n + O(1)","d","The expected value of depth of a node that is for a node a, the expected value of length of path from root to node a is found to be at most 2 log n + O(1).",10,
281,"What is the longest length path for a node x in random binary search tree for the insertion process?|a) log x|b) x2|c) x!|d) 4.311 log x","d","Although it is difficult to find the length of the longest path in randomized binary search tree, but it has been found that the longest length is around 4.311 log x.",10,
282,"What is the range of  in finding the length of the longest path in a randomized binary search tree?|a) (-1, 0)|b) (1, 0)|c) (0, 5)|d) (0, 1)","d","The longest path in a randomized binary search tree, but it has been found that the longest length is around 4.311 log x for node x. This is also equal to 1/ log x where lies in the range (0, 1).",10,
283,"What is the expected number of leaves in a randomized binary search tree?|a) n + 1|b) (n + 1)/3|c) (n + 1)/2|d) n + 3","b","In a random mathematical model, the expected value of number of leaves in a randomized binary search tree is found to be exactly (n + 1)/3 using probability.",10,
284,"What is the probability of selecting a tree uniformly at random?|a) Equal to Catalan Number|b) Less Than Catalan Number|c) Greater than Catalan Number|d) Reciprocal of Catalan Number","d","Catalan number is a sequence of natural number that is used in counting problem. Hence it is found that the selecting off a tree uniformly at random is reciprocal of Catalan number.",10,
285,"Which of the following is the correct definition for a horizontal link?|a) connection between node and a child of equal levels|b) connection between two nodes|c) connection between two child nodes|d) connection between root node and leaf node","a","A horizontal link is a connection between a node and a child of equal levels.",10,
286,"How will you remove a left horizontal link in an AA-tree?|a) by performing right rotation|b) by performing left rotation|c) by deleting both the elements|d) by inserting a new element","a","A left horizontal link is removed by right rotation. A right horizontal link is removed by left rotation.",10,
287,"What are the two different operations done in an AA-Tree?|a) shift and color|b) skew and split|c) zig and zag|d) enqueue and dequeue","b","A skew removes a left horizontal link by right rotation and a split removes a right horizontal link by left rotation.",10,
288,"In an AA-tree, we process split first, followed by a skew.|a) True|b) False","b","In an AA-tree, skew is processed first followed by a split.",10,
289,"How many different shapes does maintenance of AA-Tree need to consider?|a) 7|b) 5|c) 2|d) 3","c","An AA-Tree needs to consider only two shapes unlike a red-black tree which needs to consider seven shapes of transformation.",10,
290,"What is the prime condition of AA-tree which makes it simpler than a red-black tree?|a) Only right children can be red|b) Only left children can be red|c) Right children should strictly be black|d) There should be no left children","a","The prime condition of AA-Tree is that only the right children can be red to eliminate possible restructuring cases.",10,
291,"Which of the following trees is similar to that of an AA-Tree?|a) Splay Tree|b) B+ Tree|c) AVL Tree|d) Red-Black Tree","d","AA- Tree is a small variation of Red-Black tree. AA-Trees overcome the complexity faced in performing insertion and deletion in Red-Black Trees.",10,
292,"What is the worst case analysis of an AA-Tree?|a) O(N)|b) O(log N)|c) O( N log N)|d) O(N2)","b","The worst case analysis of an AA-Tree is mathematically found to be O(log N).",10,
293,"AA-Trees makes more rotations than a red-black tree.|a) True|b) False","a","AA- trees make more rotations than a red-black tree since only two shapes are considered for an AA-Tree whereas seven shapes are considered in Red-Black trees.",10,
294,"Who is the inventor of AA-Tree?|a) Arne Anderson|b) Daniel Sleator|c) Rudolf Bayer|d) Jon Louis Bentley","a","AA-tree is invented by Arne Anderson. Daniel Sleator invented Splay Tree. Rudolf Bayer invented a Red-Black tree. Jon Louis Bentley invented K-d tree.",10,
295,"What should be the condition for the level of a left node?|a) It should be less than or equal to that of its parent|b) It should be greater than that of its parent|c) It should be strictly less than that of its parent|d) The level should be equal to one","c","The level of a left node should be strictly less than that of its parent. The level of a right node is less than or equal to that of its parent.",10,
296,"Of the following rules that are followed by an AA-tree, which of the following is incorrect?|1- Only right children can be red|2- Procedures are coded recursively|3- Instead of storing colors, the level of a node is stored|4- There should not be any left children|a) 1|b) 2|c) 3|d) 4","d","In an AA-Tree, both left and right children can be present. The only condition is that only right children can be red.",10,
297,"Why we need to a binary tree which is height balanced?|a) to avoid formation of skew trees|b) to save memory|c) to attain faster memory access|d) to simplify storing","a","In real world dealing with random values is often not possible, the probability that u are dealing with non random values(like sequential) leads to mostly skew trees, which leads to worst case. hence we make height balance by rotations.",10,
299,"To restore the AVL property after inserting a element, we start at the insertion point and move towards root of that tree. is this statement true?|a) true|b) false","a","It is interesting to note that after insertion, only the path from that point to node or only that subtrees are imbalanced interms of height.",10,
300,"Given an empty AVL tree, how would you construct AVL tree when a set of numbers are given without performing any rotations?|a) just build the tree with the given input|b) find the median of the set of elements given, make it as root and construct the tree|c) use trial and error|d) use dynamic programming to build the tree","b","Sort the given input, find the median element among them, make it as root and construct left and right subtrees with elements lesser and greater than the median element recursively. this ensures the subtrees differ only by height 1.",10,
301,"What maximum difference in heights between the leafs of a AVL tree is possible?|a) log(n) where n is the number of nodes|b) n where n is the number of nodes|c) 0 or 1|d) atmost 1","a","At every level we can form a tree with difference in height between subtrees to be atmost 1 and so there can be log(n) such levels since height of AVL tree is log(n).",10,
302,"Consider the below left-left rotation pseudo code where the node contains value pointers to left, right child nodes and a height value and Height() function returns height value stored at a particular node. What is missing?|a) Height(w-left), x-height|b) Height(w-right), x-height|c) Height(w-left), x|d) Height(w-left)","a","In the code we are trying to make the left rotation and so we need to find maximum of those two values.",10,
304,"Which of the below statements are true? i. Cartesian tree is not a height balanced tree ii. Cartesian tree of a sequence of unique numbers can be unique generated|a) both statements are true|b) only i. is true|c) only ii. is true|d) both are false","a","A height balanced cartesian tree is not possible as seen in above question. also any time a unique sequnce possess a unique cartesian tree, this can be proven through induction.",10,
305,"What is the speciality of cartesian sorting?|a) it sorts partially sorted set of data quickly|b) it considers cartesian product of elements|c) it sorts elements in less than O(logn)|d) it is a self balancing tree","a","It can sort a set which requires only some sorting or displacements. for example consider 78, 79, 80, 82, 81, 83, In this only 81 and 82 must be swaped to make it a complete sorted set, in this case cartesian sort comes to the rescue.",10,
306,"Consider a sequence of numbers to have repetitions, how a cartesian tree can be constructed in such situations without violating any rules?|a) use any tie-breaking rule between repeated elements|b) cartesian tree is impossible when repetitions are present|c) construct a max heap in such cases|d) construct a min heap in such cases","a","Consider any of the tie breaking rules, for example the element which appears first can be taken as small among the same elements and then apply cartesian tree rules.",10,
307,"What happens if we apply the below operations on an input sequence? i. construct a cartesian tree for input sequence ii. put the root element of above tree in a priority queue iii. if( priority queue is not empty) then iv. search and delete minimum value in priority queue v. add that to output vi. add cartesian tree children of above node to priority queue|a) constructs a cartesian tree|b) sorts the input sequence|c) does nothing|d) produces some random output","b","The above given steps are for sorting a cartesian tree. cartesian sort is benificial in case of partially sorted set of elements. a cartesian sort can be considered as a selection or heap sort maintaing a priority queue.",10,
308,"Cartesian trees are most suitable for?|a) searching|b) finding nth element|c) minimum range query and lowest common ancestors|d) self balancing a tree","c","In a cartesian tree minimum value can be found by finding lowest common ancestor for the extreme elements. consider 11,9,19,16 the lowest element is 9 and is a lowest common ancestor for 11 and 16. and by applying few techniques cartesian tree can be used to even find lowest common ancestors efficiently. these can be done in constant time. tree can be constructed in linear time (this is the most efficient time for any tree construction) and takes space as many elements are there.",10,
309,"A treap is a cartesian tree with _________|a) additional value, which is a priority value to the key generated randomly|b) additional value, which is a priority value to the key generated sequentially|c) additional heap rule|d) additional operations like remove a range of elements","a","A cartesian tree, if feeded with a sorted sequence will generate a straight path (or in tree terminology a skew tree). moreover a cartesian tree basing on same values from the search keys doesnot work well. so a cartesian tree with priority value in addition to search key is called treap.",10,
310,"What are the applications of weight balanced tree?|a) dynamic sets, dictionaries, sequences, maps|b) heaps|c) sorting|d) storing strings","a","They are a type of self balancing trees which are mostly used in storing key-value pairs, which is mostly used in functional programming languages. they are very useful to maintain big set of ordered objects.",10,
311,"A node of the weight balanced tree has|a) key, left and right pointers, size|b) key, value|c) key, size|d) key","a","As a weight balanced tree stores height of the subtrees, we need to use size as an additional attribute to every node. also value(for mappings) may be an optional attribute.",10,
312,"The size value of various nodes in a weight balanced tree are|a) true|b) false","a","Size of a node k is size[k] = size[k.left] + 1 + size[k.right] and based on this the weight will be given as weight[k] = size[k] + 1.",10,
313,"What are the operations that can be performed on weight balanced tree?|a) all basic operations and set intersection, set union and subset test|b) all basic operations|c) set intersection, set union and subset test|d) only insertion and deletion","a","The speciality of a weight balanced tree is a part from basic operations we can perform collective operations like set intersection, which helps in rapid prototyping in functional programming languages.",10,
314,"Consider a weight balanced tree such that, the number of nodes in the left sub tree is at least half and at most twice the number of nodes in the right sub tree. The maximum possible height (number of nodes on the path from the root to the farthest leaf) of such a tree on k nodes can be described as|a) log2 n|b) log4/3 n|c) log3 n|d) log3/2 n","d","Total number of nodes can be described by the recurrence T(n) = T((n-1)/3)) + T(2(n-1)/3) + 1 T(1) = 1. height of the tree will be H(n) = H(2/3(n-1)) + 1, H(1). drawing a recurrence tree and the cost at each level is 1 and the height will be log(3/2)n.",10,
315,"What does the below definations convey?|a) weight balanced and height balanced tree definations|b) height balanced and weight balanced tree definations|c) definations of weight balanced tree|d) definations of height balanced tree","a","They are the definations of weight and height balanceness. height balanced trees wont convey weight balanceness but opposite can be true.",10,
316,"Why do we impose restrictions like  . root property is black  . every leaf is black  . children of red node are black  . all leaves have same black|a) to get logarithm time complexity|b) to get linear time complexity|c) to get exponential time complexity|d) to get constant time complexity","a","We impose such restrictions to achieve self balancing trees with logarithmic complexities for insertions, deletions, search.",10,
317,"All the above formations are incorrect for it to be a redblack tree. then what may be the correct order?|a) 50-black root, 18-red left subtree, 100-red right subtree|b) 50-red root, 18-red left subtree, 100-red right subtree|c) 50-black root, 18-black left subtree, 100-red right subtree|d) 50-black root, 18-red left subtree, 100-black right subtree","a","Considering all the properties of red-black tree, 50 must be the black root and there are two possibilities for subtrees. one is option a and other is making all nodes of the tree to be black.",10,
318,"What are the operations that could be performed in O(logn) time complexity by red-black tree?|a) insertion, deletion, finding predecessor, successor|b) only insertion|c) only finding predecessor, successor|d) for sorting","a","We impose restrictions (refer question 2) to achieve logarithm time complexities.",10,
319,"Which of the following is an application of Red-black trees and why?|a) used to store strings efficiently|b) used to store integers efficiently|c) can be used in process schedulers, maps, sets|d) for efficient sorting","c","RB tree is used for Linux kernel in the form of completely fair scheduler process scheduling algorithm. It is used for faster insertions, retrievals.",10,
320,"When it would be optimal to prefer Red-black trees over AVL trees?|a) when there are more insertions or deletions|b) when more search is needed|c) when tree must be balanced|d) when log(nodes) time complexity is needed","a","Though both trees are balanced, when there are more insertions and deletions to make the tree balanced, AVL trees should have more rotations, it would be better to use red-black. but if more search is required AVL trees should be used.",10,
321,"Why Red-black trees are preferred over hash tables though hash tables have constant time complexity?|a) no they are not preferred|b) because of resizing issues of hash table and better ordering in redblack trees|c) because they can be implemented using trees|d) because they are balanced","b","Redblack trees have O(logn) for ordering elements in terms of finding first and next elements. also whenever table size increases or decreases in hash table you need to perform rehashing which can be very expensive in real time. also red black stores elements in sorted order rather than input order.",10,
322,"How can you save memory when storing color information in Red-Black tree?|a) using least significant bit of one of the pointers in the node for color information|b) using another array with colors of each node|c) storing color information in the node structure|d) using negative and positive numbering","a","The node pointers can be used to store color with the help of significant bits. the exceptions of this method are in languages like java where pointers are not used this may not work.",10,
323,"When to choose Red-Black tree, AVL tree and B-trees?|a) many inserts, many searches and when managing more items respectively|b) many searches, when managing more items respectively and many inserts respectively|c) sorting, sorting and retrieval respectively|d) retrieval, sorting and retrieval respectively","a","Red black when frequent inserts and deletes, AVL when less frequent inserts and deletes, B-tree when using paging from a slow storage device.",10,
327,"Which data structure is used to maintain a dynamic forest using a link or cut operation?|a) Top Tree|b) Array|c) Linked List|d) Stack","a","Top tree data structure is used to maintain a dynamic forest using link or cut operations. Top tree is a type of data structure which is based on unrooted dynamic binary tree and is used to solve path related problems.",10,
328,"If A  B (A and B are two clusters) is a singleton set then it is a Merge able cluster.|a) True|b) False","a","If A  B is a singleton set where A and B are two clusters, that is there are only one node that is common between the clusters then they are known as Merge able cluster.",10,
329,"Is Top tree used for maintaining Dynamic set of trees called forest.|a) True|b) False","a","Top tree data structure is used to maintain a dynamic forest using link or cut operations. Top tree is a type of data structure which is based on unrooted dynamic binary tree and is used to solve path related problems.",10,
330,"What is the time complexity for the initialization of top tree?|a) O (n)|b) O (n2)|c) O (log n)|d) O (n!)","a","Generally, trees have weight on its edges. Also there is one to one correspondence of the edges with the top trees. Therefore, top trees can be initialized in O (n) time.",10,
